Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Level
South Africa,ZAF,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1963,81.60565168
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,839.743
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,58.01090586
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,55727.399
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,48.70738008
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,103662.423
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,NA
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,56735.824
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,19.86578354
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,237801.283
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Canada,CAN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,7.720671116
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,337.364
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Cameroon,CMR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,16.24674748
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,64410.855
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Spain,ESP,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,65.53483533
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,22394.369
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,21.2798843
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,150647.694
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,59.43515214
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,2827.257
Kenya,KEN,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Kenya,KEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,44.30368626
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,74278.752
Mexico,MEX,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Mexico,MEX,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,50.43802567
Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,949.753
Nicaragua,NIC,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Nicaragua,NIC,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,28.98454379
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,16189.805
Norway,NOR,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Norway,NOR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,2.789915902
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,19035.397
Pakistan,PAK,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
Pakistan,PAK,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,47.16038813
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,X1964,119657.877
South Africa,ZAF,Forest area (% of land area),AG.LND.FRST.ZS,X1964,NA
South Africa,ZAF,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1964,80.57934696
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,1008.425
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,58.0139693
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,58866.351
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,48.15306081
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,105440.918
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,NA
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,56398.46
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,20.38671283
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,252153.921
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Canada,CAN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,7.734857057
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,311.695
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Cameroon,CMR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,16.37367519
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,71117.798
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Spain,ESP,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,65.41678338
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,24689.911
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,21.25228393
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,165972.087
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1965,59.59154982
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1965,2467.891
Kenya,KEN,Forest area (% of land area),AG.LND.FRST.ZS,X1965,NA
