Country.Name,Country.Code,Indicator.Code,Year,Access to electricity (% of population),Agricultural land (% of land area),Agricultural methane emissions (thousand metric tons of CO2 equivalent),CO2 emissions (kt),Forest area (% of land area)
Afghanistan,AFG,EN.ATM.CO2E.KT,X1962,NA,NA,NA,689.396,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1963,NA,NA,NA,707.731,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1964,NA,NA,NA,839.743,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1965,NA,NA,NA,1008.425,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1966,NA,NA,NA,1092.766,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1967,NA,NA,NA,1283.45,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1968,NA,NA,NA,1224.778,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1969,NA,NA,NA,942.419,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1970,NA,NA,NA,1672.152,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1971,NA,NA,NA,1895.839,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1972,NA,NA,NA,1532.806,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1973,NA,NA,NA,1639.149,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1974,NA,NA,NA,1917.841,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1975,NA,NA,NA,2126.86,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1976,NA,NA,NA,1987.514,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1977,NA,NA,NA,2390.884,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1978,NA,NA,NA,2159.863,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1979,NA,NA,NA,2240.537,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1980,NA,NA,NA,1760.16,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1981,NA,NA,NA,1983.847,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1982,NA,NA,NA,2101.191,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1983,NA,NA,NA,2522.896,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1984,NA,NA,NA,2830.924,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1985,NA,NA,NA,3509.319,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1986,NA,NA,NA,3142.619,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1987,NA,NA,NA,3124.284,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1988,NA,NA,NA,2867.594,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1989,NA,NA,NA,2775.919,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1990,NA,NA,NA,2614.571,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1991,NA,NA,NA,2438.555,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1992,NA,NA,NA,1393.46,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1993,NA,NA,NA,1345.789,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1994,NA,NA,NA,1294.451,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1995,NA,NA,NA,1243.113,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1996,NA,NA,NA,1177.107,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1997,NA,NA,NA,1096.433,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1998,NA,NA,NA,1041.428,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X1999,NA,NA,NA,821.408,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2000,NA,NA,NA,773.737,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2001,NA,NA,NA,817.741,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2002,NA,NA,NA,1070.764,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2003,NA,NA,NA,1195.442,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2004,NA,NA,NA,949.753,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2005,NA,NA,NA,1327.454,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2006,NA,NA,NA,1650.15,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2007,NA,NA,NA,2273.54,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2008,NA,NA,NA,4206.049,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2009,NA,NA,NA,6769.282,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2010,NA,NA,NA,8463.436,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2011,NA,NA,NA,12240.446,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2012,NA,NA,NA,10755.311,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2013,NA,NA,NA,10014.577,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2014,NA,NA,NA,9809.225,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2015,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2016,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2017,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.CO2E.KT,X2018,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1960,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1961,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1962,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1963,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1964,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1965,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1966,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1967,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1968,NA,NA,NA,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1969,NA,NA,0,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1970,NA,NA,7863.011258,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1971,NA,NA,7819.391016,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1972,NA,NA,6672.292779,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1973,NA,NA,6960.204187,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1974,NA,NA,7378.031872,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1975,NA,NA,7836.128508,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1976,NA,NA,7954.046042,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1977,NA,NA,7781.350701,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1978,NA,NA,7719.369649,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1979,NA,NA,7541.707595,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1980,NA,NA,7450.499202,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1981,NA,NA,7393.596449,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1982,NA,NA,7327.154807,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1983,NA,NA,6857.477781,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1984,NA,NA,5970.792005,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1985,NA,NA,5302.5535,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1986,NA,NA,4394.662796,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1987,NA,NA,4760.688375,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1988,NA,NA,5054.153351,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1989,NA,NA,4962.395465,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1990,NA,NA,5028.306348,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1991,NA,NA,5009.476233,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1992,NA,NA,5048.465323,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1993,NA,NA,5104.867309,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1994,NA,NA,5278.868282,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1995,NA,NA,5483.154311,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1996,NA,NA,6179.109624,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1997,NA,NA,6737.509503,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1998,NA,NA,7166.604619,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X1999,NA,NA,7694.990166,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X2000,NA,NA,6682.434739,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X2001,NA,NA,5847.50896,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X2002,NA,NA,6883.412869,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X2003,NA,NA,7101.863479,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X2004,NA,NA,7071.356991,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X2005,NA,NA,7070.674237,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X2006,NA,NA,7054.139231,NA,NA
Afghanistan,AFG,EN.ATM.METH.AG.KT.CE,X2007,NA,NA,7045.150486,NA,NA
