"Country.Name","Country.Code","Indicator.Code","Year","Agricultural land (% of land area)","CO2 emissions (kt)","Forest area (% of land area)"
"Argentina","ARG","AG.LND.FRST.ZS","X2002",NA,NA,11.39712587
"Argentina","ARG","AG.LND.FRST.ZS","X2003",NA,NA,11.27478801
"Argentina","ARG","AG.LND.FRST.ZS","X2004",NA,NA,11.15245087
"Argentina","ARG","AG.LND.FRST.ZS","X2005",NA,NA,11.03011302
"Argentina","ARG","AG.LND.FRST.ZS","X2006",NA,NA,10.91391425
"Argentina","ARG","AG.LND.FRST.ZS","X2007",NA,NA,10.79771549
"Argentina","ARG","AG.LND.FRST.ZS","X2008",NA,NA,10.68151672
"Argentina","ARG","AG.LND.FRST.ZS","X2009",NA,NA,10.56531796
"Argentina","ARG","AG.LND.FRST.ZS","X2010",NA,NA,10.44911919
"Argentina","ARG","AG.LND.FRST.ZS","X2011",NA,NA,10.34066672
"Argentina","ARG","AG.LND.FRST.ZS","X2012",NA,NA,10.23221497
"Argentina","ARG","AG.LND.FRST.ZS","X2013",NA,NA,10.1237625
"Argentina","ARG","AG.LND.FRST.ZS","X2014",NA,NA,10.01531075
"Argentina","ARG","AG.LND.FRST.ZS","X2015",NA,NA,9.906858285
"Argentina","ARG","AG.LND.FRST.ZS","X2016",NA,NA,9.798405818
"Argentina","ARG","AG.LND.FRST.ZS","X2017",NA,NA,NA
"Argentina","ARG","AG.LND.FRST.ZS","X2018",NA,NA,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1960",NA,48815.104,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1961",NA,51180.319,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1962",NA,53695.881,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1963",NA,50083.886,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1964",NA,55727.399,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1965",NA,58866.351,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1966",NA,63138.406,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1967",NA,65543.958,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1968",NA,69082.613,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1969",NA,77329.696,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1970",NA,82734.854,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1971",NA,88939.418,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1972",NA,90156.862,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1973",NA,94065.884,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1974",NA,95569.354,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1975",NA,94931.296,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1976",NA,99786.404,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1977",NA,100791.162,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1978",NA,102639.33,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1979",NA,110703.063,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1980",NA,108737.551,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1981",NA,102041.609,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1982",NA,103424.068,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1983",NA,105213.564,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1984",NA,106522.683,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1985",NA,100596.811,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1986",NA,104212.473,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1987",NA,114942.115,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1988",NA,121473.042,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1989",NA,117090.977,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1990",NA,112147.861,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1991",NA,117098.311,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1992",NA,121352.031,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1993",NA,117927.053,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1994",NA,122408.127,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1995",NA,127963.632,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1996",NA,135000.605,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1997",NA,138003.878,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1998",NA,139815.376,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X1999",NA,146984.361,NA
"Argentina","ARG","EN.ATM.CO2E.KT","X2000",NA,142136.587,NA
